country,points,price,province,region_1,taster_name,title,variety,winery
France,92,25,Beaujolais,Fleurie,Roger Voss,Domaine des Marrans 2015  Fleurie,Gamay,Domaine des Marrans
US,90,45,California,Santa Barbara County,NA,Blair Fox 2009 Fox Family Vineyard Petite Sirah (Santa Barbara County),Petite Sirah,Blair Fox
France,88,25,Loire Valley,Sancerre,Roger Voss,Jean-Max Roger 2014 Cuvée Les Caillottes  (Sancerre),Sauvignon Blanc,Jean-Max Roger
Italy,94,92,Northeastern Italy,Alto Adige,NA,Colterenzio 2007 Lafòa Cabernet Sauvignon (Alto Adige),Cabernet Sauvignon,Colterenzio
US,90,45,Oregon,Willamette Valley,Paul Gregutt,Willamette Valley Vineyards 2006 Estate Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
France,87,NA,Provence,Côtes de Provence,Roger Voss,Gassier 2012 Miradou en Provence Rosé (Côtes de Provence),Rosé,Gassier
US,85,34,Arizona,Sonoita,Alexander Peartree,Flying Leap 2013 Tempranillo (Sonoita),Tempranillo,Flying Leap
Australia,91,80,South Australia,Barossa Valley,Joe Czerwinski,Cirillo 2004 1850 Old Vine Grenache (Barossa Valley),Grenache,Cirillo
US,87,55,California,Russian River Valley,Virginie Boone,Moshin 2012 Rosalina Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Moshin
US,87,45,California,Alexander Valley,NA,Adobe Road 2004 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Adobe Road
Italy,88,22,Tuscany,Toscana,Kerin O’Keefe,Ziobaffa 2015 Red (Toscana),Red Blend,Ziobaffa
France,94,NA,Bordeaux,Saint-Julien,Roger Voss,Château Ducru Beaucaillou 2008  Saint-Julien,Bordeaux-style Red Blend,Château Ducru Beaucaillou
Australia,87,18,South Australia,McLaren Vale,NA,Tintara 2003 Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Tintara
US,88,40,Washington,Wahluke Slope,Sean P. Sullivan,Maryhill 2014 Clifton Hill Vineyard Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon,Maryhill
Italy,88,25,Veneto,Valpolicella Classico Superiore Ripasso,NA,Guerrieri Rizzardi 2007 Pojega  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Guerrieri Rizzardi
Italy,87,30,Tuscany,Rosso di Montalcino,Kerin O’Keefe,Tenuta Buon Tempo 2014  Rosso di Montalcino,Sangiovese,Tenuta Buon Tempo
US,93,50,California,Sta. Rita Hills,Matt Kettmann,Longoria 2014 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Longoria
US,92,26,California,Santa Barbara County,NA,Melville 2010 Verna's Estate Syrah (Santa Barbara County),Syrah,Melville
France,87,20,Provence,Coteaux d'Aix-en-Provence,Roger Voss,Domaine d'Eole 2013 Rosé (Coteaux d'Aix-en-Provence),Rosé,Domaine d'Eole
France,88,25,Southwest France,Cahors,Roger Voss,Château de Gaudou 2012 Renaissance Malbec (Cahors),Malbec,Château de Gaudou
